profile,variant,change,ecosystem,package,version
dev,playwright-on,added,wolfi,libxfont,2.0.9-r1
dev,playwright-on,added,wolfi,libxft,2.3.9-r7
dev,playwright-on,added,wolfi,libxkb,1.2.0-r1
dev,playwright-on,added,wolfi,libxkbcommon,1.13.2-r2
dev,playwright-on,added,wolfi,libxmu,1.3.1-r5
dev,playwright-on,added,wolfi,libxrandr,1.5.5-r6
dev,playwright-on,added,wolfi,libxshmfence,1.3.3-r4
dev,playwright-on,added,wolfi,libxt,1.3.1-r8
dev,playwright-on,added,wolfi,lz4,1.10.0-r10
dev,playwright-on,added,wolfi,mcookie,2.42.3-r0
dev,playwright-on,added,wolfi,mesa-gbm,26.2.2-r0
dev,playwright-on,added,wolfi,mesa-libgallium,26.2.2-r0
dev,playwright-on,added,wolfi,pango,1.58.2-r1
dev,playwright-on,added,wolfi,pixman,0.46.4-r6
dev,playwright-on,added,wolfi,wayland-libs-client,1.26.0-r1
dev,playwright-on,added,wolfi,xauth,1.1.5-r3
dev,playwright-on,added,wolfi,xkbcomp,1.5.0-r4
dev,playwright-on,added,wolfi,xkeyboard-config,2.48-r2
dev,playwright-on,added,wolfi,xvfb-run,21.1.24-r2
dev,playwright-on,added,wolfi,zstd,1.5.7-r10
dev,clamav-on,added,wolfi,clamav-1.5,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-clamdscan,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-daemon,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-db,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-freshclam,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-libunrar,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-milter,1.5.2-r7
dev,clamav-on,added,wolfi,clamav-1.5-scanner,1.5.2-r7
dev,clamav-on,added,wolfi,json-c,0.19-r1
dev,clamav-on,added,wolfi,libmspack,1.11-r0
dev,utilities-none,removed,gobinary,github.com/MakeNowJust/heredoc,v1.0.0
dev,utilities-none,removed,gobinary,github.com/beorn7/perks,v1.0.1
dev,utilities-none,removed,gobinary,github.com/blang/semver/v4,v4.0.0
dev,utilities-none,removed,gobinary,github.com/cespare/xxhash/v2,v2.3.0
dev,utilities-none,removed,gobinary,github.com/chai2010/gettext-go,v1.0.2
dev,utilities-none,removed,gobinary,github.com/davecgh/go-spew,v1.1.2-0.20180830191138-d8f796af33cc
dev,utilities-none,removed,gobinary,github.com/distribution/reference,v0.6.0
dev,utilities-none,removed,gobinary,github.com/emicklei/go-restful/v3,v3.13.0
dev,utilities-none,removed,gobinary,github.com/exponent-io/jsonpath,v0.0.0-20210407135951-1de76d718b3f
dev,utilities-none,removed,gobinary,github.com/fatih/camelcase,v1.0.0
dev,utilities-none,removed,gobinary,github.com/fxamacker/cbor/v2,v2.9.1
dev,utilities-none,removed,gobinary,github.com/go-errors/errors,v1.4.2
dev,utilities-none,removed,gobinary,github.com/go-logr/logr,v1.4.3
dev,utilities-none,removed,gobinary,github.com/go-openapi/jsonpointer,v1.0.0
dev,utilities-none,removed,gobinary,github.com/go-openapi/jsonreference,v1.0.0
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/cmdutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/conv,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/fileutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/jsonutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/loading,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/mangling,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/netutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/pools,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/stringutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/typeutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/go-openapi/swag/yamlutils,v0.27.1
dev,utilities-none,removed,gobinary,github.com/google/btree,v1.1.3
dev,utilities-none,removed,gobinary,github.com/google/gnostic-models,v0.7.0
dev,utilities-none,removed,gobinary,github.com/google/uuid,v1.6.0
dev,utilities-none,removed,gobinary,github.com/gorilla/websocket,v1.5.4-0.20250319132907-e064f32e3674
dev,utilities-none,removed,gobinary,github.com/jonboulle/clockwork,v0.5.0
dev,utilities-none,removed,gobinary,github.com/json-iterator/go,v1.1.12
dev,utilities-none,removed,gobinary,github.com/liggitt/tabwriter,v0.0.0-20181228230101-89fcab3d43de
dev,utilities-none,removed,gobinary,github.com/lithammer/dedent,v1.1.0
dev,utilities-none,removed,gobinary,github.com/mitchellh/go-wordwrap,v1.0.1
dev,utilities-none,removed,gobinary,github.com/moby/spdystream,v0.5.1
dev,utilities-none,removed,gobinary,github.com/moby/term,v0.5.2
dev,utilities-none,removed,gobinary,github.com/modern-go/concurrent,v0.0.0-20180306012644-bacd9c7ef1dd
dev,utilities-none,removed,gobinary,github.com/modern-go/reflect2,v1.0.3-0.20250322232337-35a7c28c31ee
dev,utilities-none,removed,gobinary,github.com/monochromegane/go-gitignore,v0.0.0-20200626010858-205db1a8cc00
dev,utilities-none,removed,gobinary,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822
dev,utilities-none,removed,gobinary,github.com/mxk/go-flowrate,v0.0.0-20140419014527-cca7078d478f
dev,utilities-none,removed,gobinary,github.com/opencontainers/go-digest,v1.0.0
dev,utilities-none,removed,gobinary,github.com/peterbourgon/diskv,v2.0.1+incompatible
dev,utilities-none,removed,gobinary,github.com/pmezard/go-difflib,v1.0.1-0.20181226105442-5d4384ee4fb2
dev,utilities-none,removed,gobinary,github.com/prometheus/client_golang,v1.24.0
dev,utilities-none,removed,gobinary,github.com/prometheus/client_model,v0.6.2
dev,utilities-none,removed,gobinary,github.com/prometheus/common,v0.70.0
dev,utilities-none,removed,gobinary,github.com/prometheus/procfs,v0.21.1
dev,utilities-none,removed,gobinary,github.com/russross/blackfriday/v2,v2.1.0
dev,utilities-none,removed,gobinary,github.com/spf13/cobra,v1.10.2
dev,utilities-none,removed,gobinary,github.com/spf13/pflag,v1.0.10
dev,utilities-none,removed,gobinary,github.com/x448/float16,v0.8.4
dev,utilities-none,removed,gobinary,github.com/xlab/treeprint,v1.2.0
dev,utilities-none,removed,gobinary,go.opentelemetry.io/otel,v1.44.0
dev,utilities-none,removed,gobinary,go.opentelemetry.io/otel/trace,v1.44.0
dev,utilities-none,removed,gobinary,go.yaml.in/yaml/v2,v2.4.4
dev,utilities-none,removed,gobinary,go.yaml.in/yaml/v3,v3.0.4
dev,utilities-none,removed,gobinary,golang.org/x/net,v0.57.0
dev,utilities-none,removed,gobinary,golang.org/x/oauth2,v0.36.0
dev,utilities-none,removed,gobinary,golang.org/x/sync,v0.22.0
dev,utilities-none,removed,gobinary,golang.org/x/sys,v0.47.0
dev,utilities-none,removed,gobinary,golang.org/x/term,v0.45.0
dev,utilities-none,removed,gobinary,golang.org/x/text,v0.40.0
dev,utilities-none,removed,gobinary,golang.org/x/time,v0.15.0
dev,utilities-none,removed,gobinary,google.golang.org/protobuf,v1.36.12-0.20260120151049-f2248ac996af
dev,utilities-none,removed,gobinary,gopkg.in/evanphx/json-patch.v4,v4.13.0
dev,utilities-none,removed,gobinary,gopkg.in/inf.v0,v0.9.1
dev,utilities-none,removed,gobinary,k8s.io/api,
dev,utilities-none,removed,gobinary,k8s.io/apimachinery,
dev,utilities-none,removed,gobinary,k8s.io/cli-runtime,
dev,utilities-none,removed,gobinary,k8s.io/client-go,
dev,utilities-none,removed,gobinary,k8s.io/component-base,
dev,utilities-none,removed,gobinary,k8s.io/component-helpers,
dev,utilities-none,removed,gobinary,k8s.io/klog/v2,v2.140.0
dev,utilities-none,removed,gobinary,k8s.io/kube-openapi,v0.0.0-20260721132016-d427ff9ee9ad
dev,utilities-none,removed,gobinary,k8s.io/kubectl,
dev,utilities-none,removed,gobinary,k8s.io/kubernetes,v1.37.0
dev,utilities-none,removed,gobinary,k8s.io/metrics,
dev,utilities-none,removed,gobinary,k8s.io/streaming,
dev,utilities-none,removed,gobinary,k8s.io/utils,v0.0.0-20260626114624-be93311217bd
dev,utilities-none,removed,gobinary,sigs.k8s.io/json,v0.0.0-20250730193827-2d320260d730
dev,utilities-none,removed,gobinary,sigs.k8s.io/kustomize/api,v0.21.1
dev,utilities-none,removed,gobinary,sigs.k8s.io/kustomize/kustomize/v5,v5.8.1
dev,utilities-none,removed,gobinary,sigs.k8s.io/kustomize/kyaml,v0.21.1
dev,utilities-none,removed,gobinary,sigs.k8s.io/randfill,v1.0.0
dev,utilities-none,removed,gobinary,sigs.k8s.io/structured-merge-diff/v6,v6.4.2
dev,utilities-none,removed,gobinary,sigs.k8s.io/yaml,v1.6.0
dev,utilities-none,removed,gobinary,stdlib,v1.26.6
dev,utilities-none,removed,wolfi,curl,8.22.0-r0
dev,utilities-none,removed,wolfi,findutils,4.11.0-r2
dev,utilities-none,removed,wolfi,helm-4,4.2.4-r3
dev,utilities-none,removed,wolfi,less,709-r1
dev,utilities-none,removed,wolfi,libedit,3.1-r19
dev,utilities-none,removed,wolfi,libproc-2-0,4.0.7-r1
dev,utilities-none,removed,wolfi,mongo-tools,100.18.0-r6
dev,utilities-none,removed,wolfi,mongosh,2.10.0-r1
dev,utilities-none,removed,wolfi,openssh-client,10.5_p1-r1
dev,utilities-none,removed,wolfi,openssh-keygen,10.5_p1-r1
dev,utilities-none,removed,wolfi,openssh-keyscan,10.5_p1-r1
dev,utilities-none,removed,wolfi,oras,1.3.4-r0
dev,utilities-none,removed,wolfi,procps,4.0.7-r1
dev,utilities-none,removed,wolfi,unzip,6.0-r8
dev,utilities-none,removed,wolfi,yq,4.53.6-r2
dev,utilities-none,removed,wolfi,zip,3.0-r11
dev,utilities-all,added,wolfi,bind-libs,9.20.27-r1
dev,utilities-all,added,wolfi,bind-tools,9.20.27-r1
dev,utilities-all,added,wolfi,db,5.3.33-r1
dev,utilities-all,added,wolfi,fstrm,0.6.1-r6
dev,utilities-all,added,wolfi,iproute2,7.2.0-r0
dev,utilities-all,added,wolfi,iptables,1.8.13-r4
dev,utilities-all,added,wolfi,iputils,20250605-r6
